Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
KNN,Humidity -5%,Single shift,0.4350580781414995,0.3582945988773961,0.7094499294781382,0.0350109409190372,0.5599949253920695
GaussianNB,Humidity -5%,Single shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.4840846147098262
SVM,Humidity -5%,Single shift,0.44153005464480877,0.4179843455999848,0.7150916784203103,0.00437636761487965,0.5486797355649814
MLP,Humidity -5%,Single shift,0.5791583166332666,0.5284707890010534,0.5923836389280677,0.0,0.4144722566151411
Logistic Regression,CO2 +20ppm,Single shift,0.9016172506738545,0.8218120815545521,0.056417489421720736,0.11597374179431072,-0.0007406491903749757
Ridge Classifier,CO2 +20ppm,Single shift,0.8152531229454306,0.6590842807358476,0.12552891396332863,0.2100656455142232,0.004310657622976555
SGD Classifier,CO2 +20ppm,Single shift,0.900742741390952,0.8202396873376863,0.05923836389280677,0.11487964989059081,0.0006086099603993533
Decision Tree,CO2 +20ppm,Single shift,0.9893238434163701,0.9813079057202649,0.019746121297602257,0.0010940919037199124,0.007855282112543827
Random Forest,CO2 +20ppm,Single shift,0.9893238434163701,0.9813079057202649,0.019746121297602257,0.0010940919037199124,0.007142587679036194
Extra Trees,CO2 +20ppm,Single shift,0.99361249112846,0.9887765311204042,0.012693935119887164,0.0,0.004270359965400372
AdaBoost,CO2 +20ppm,Single shift,0.9901129943502824,0.9824658314928291,0.011283497884344146,0.006564551422319475,0.0007256243953130959
Gradient Boosting,CO2 +20ppm,Single shift,0.9929278642149929,0.987481830383235,0.009873060648801129,0.0032822757111597373,0.0021321216706811086
XGBoost,CO2 +20ppm,Single shift,0.9936215450035436,0.9887551994266497,0.011283497884344146,0.0010940919037199124,0.004261306090316719
LightGBM,CO2 +20ppm,Single shift,0.9921930447125621,0.98626827180498,0.014104372355430184,0.0010940919037199124,0.00428334711266698
CatBoost,CO2 +20ppm,Single shift,0.9871611982881597,0.9775992935221774,0.023977433004231313,0.0010940919037199124,0.010721652805700588
KNN,CO2 +20ppm,Single shift,0.976678445229682,0.9586624220535583,0.02538787023977433,0.016411378555798686,0.018374558303887012
GaussianNB,CO2 +20ppm,Single shift,0.7321131447587355,0.6067887459909544,0.37940761636107195,0.05798687089715536,-0.01171012208871025
SVM,CO2 +20ppm,Single shift,0.9873595505617978,0.9775081496699689,0.00846262341325811,0.01312910284463895,0.0028502396479923586
MLP,CO2 +20ppm,Single shift,0.984375,0.9724830297133811,0.022566995768688293,0.006564551422319475,0.009255573248407645
Logistic Regression,CO2 -20ppm,Single shift,0.9008766014834795,0.8204577158384159,0.05782792665726375,0.11597374179431072,0.0
Ridge Classifier,CO2 -20ppm,Single shift,0.8201058201058201,0.6688888127461451,0.12552891396332863,0.20021881838074398,-0.0005420395374129416
SGD Classifier,CO2 -20ppm,Single shift,0.8991198375084631,0.8173304451086287,0.06346967559943582,0.1137855579868709,0.002231513842888222
Decision Tree,CO2 -20ppm,Single shift,0.9971830985915493,0.994995644481762,0.0014104372355430183,0.0032822757111597373,-3.973062635331814e-06
Random Forest,CO2 -20ppm,Single shift,0.995768688293371,0.9924864125822112,0.004231311706629055,0.0032822757111597373,0.0006977428020353837
Extra Trees,CO2 -20ppm,Single shift,0.998589562764457,0.9974954708607371,0.0014104372355430183,0.0010940919037199124,-0.0007067116705966603
AdaBoost,CO2 -20ppm,Single shift,0.9707112970711297,0.9477269502847763,0.018335684062059238,0.03172866520787746,0.020127321674465848
Gradient Boosting,CO2 -20ppm,Single shift,0.9818688981868898,0.96771659704646,0.007052186177715092,0.022975929978118162,0.013191087698784187
XGBoost,CO2 -20ppm,Single shift,0.989517819706499,0.9813840953010049,0.0014104372355430183,0.015317286652078774,0.008365031387361332
LightGBM,CO2 -20ppm,Single shift,0.9826268241834607,0.9691299788596566,0.0028208744710860366,0.02516411378555799,0.013849567641768368
CatBoost,CO2 -20ppm,Single shift,0.9943820224719101,0.9900192746799397,0.0014104372355430183,0.007658643326039387,0.003500828621950225
KNN,CO2 -20ppm,Single shift,0.9830747531734838,0.9699456503288448,0.01692524682651622,0.01312910284463895,0.011978250360085152
GaussianNB,CO2 -20ppm,Single shift,0.7045840407470289,0.5758367827458759,0.4146685472496474,0.05908096280087528,0.015818981922996356
SVM,CO2 -20ppm,Single shift,0.9902097902097902,0.9826120404226455,0.0014104372355430183,0.014223194748358862,0.0
MLP,CO2 -20ppm,Single shift,0.9929478138222849,0.9874773543036853,0.007052186177715092,0.005470459518599562,0.0006827594261227254
Logistic Regression,Light +20Lux,Single shift,0.7087719298245614,0.44473773325850974,0.0028208744710860366,0.6334792122538293,0.1921046716589181
Ridge Classifier,Light +20Lux,Single shift,0.7953816549069916,0.6185381522866751,0.12552891396332863,0.25164113785557984,0.024182125661415532
SGD Classifier,Light +20Lux,Single shift,0.7013888888888888,0.4267932917506818,0.0028208744710860366,0.6564551422319475,0.19996246246246252
